COUNTRY,SOVEREIGN,GID,CONTINENT,SRI,SRI_category,coastflood,rivflood,watersc,heatwvs,pm25,cyclns
Iraq,Iraq,IRQ,Asia,"7.315971481885551",Extremely High,"1.287445353239376","7.106159497574378","8.633636353664485","9.389625165096431","9.508509805749751","0.0"
Ireland,Ireland,IRL,Europe,"3.43878632104902",Low-Medium,"0.0","4.063246174814154","0.0","9.012335816403835","1.058800754354175","0.0"
Israel,Israel,ISR,Asia,"5.446652567747571",High,"0.0","7.793510420312656","8.96332338753827","5.182048457791367","4.777754729119818","0.0"
Italy,Italy,ITA,Europe,"6.067007910226263",High,"3.105103260436944","5.0839627678111","7.886294235106537","9.609707199641148","4.766342366612507","0.0"
Jamaica,Jamaica,JAM,North America,"4.873184530580088",Medium-High,"0.0","0.0","0.0","8.639548810371796","3.983308703942445","8.673065268559235"
Japan,Japan,JPN,Asia,"6.1065319790823",High,"4.999389523128505","2.833142381150901","0.0","8.935135096565302","4.940371210072574","9.029645765639618"
Jordan,Jordan,JOR,Asia,"5.137742153824222",Medium-High,"0.0","0.700054710764224","8.535802287909458","8.628586975940907","5.582914652178837","0.0"
Kazakhstan,Kazakhstan,KAZ,Asia,"4.600861752568007",Medium-High,"0.0","4.455220412804705","5.103339083729193","8.697946582027532","4.720179053685309","0.0"
Kenya,Kenya,KEN,Africa,"5.374088563321166",Medium-High,"1.37550713883016","6.657497141270831","6.292122681160764","7.523198126376046","6.830669327581796","0.0"
Kosovo,Kosovo,XKO,Europe,"4.634321318033835",Medium-High,"0.0","4.868823987490779","5.403587726605966","8.726845946895716","4.072323880740847","0.0"
Kuwait,Kuwait,KWT,Asia,"6.522272258917857",High,"0.0","6.230492793693879","8.645315677384428","8.576608173817498","8.631536558354945","0.0"
Kyrgyzstan,Kyrgyzstan,KGZ,Asia,"5.358221780039825",Medium-High,"0.0","7.928054704595519","6.022871245076223","8.551782395606278","4.027362254155275","0.0"
